mmsi,name,type_and_cargo,response_class
# Added by Kurt
576971000,DD2,76,1
366599000,MAINE     RESPONDER,54,1
366598000,GULF COAST RESPONDER,54,1
366594000,NEW JERSEY RESPONDER,54,1
367168440,R/V WEATHERBIRD,245,1
338257000,R/V BROOKS MCCALL,245,1
257223000,REM FORZA,83,1
367362000,SEACOR LEE,80,1
303913000,GORDON GUNTER,60,1 
# Official
367162020,ODYSSEA ATLAS,90,1
356587000,MT-OYSTER-C,0,1
215547000,WARRIOR,70,1
367072880,FOX,39,1
367305930,LADY NINA,99,1
319889000,OASIS,37,1
369350000,VALIANT,70,1
367652000,R/V PELICAN,33,1
576281000,DEVELOPMENT DRILLER3,90,1
369550000,Q4000,33,1
369906000,CG OAK,54,1
366596000,SOUTHERN RESPONDER,54,1
367038110,EMILY BORDELON,70,1
1092094,FAST SPIRIT,63,1
367156110,ARMSTEAD,37,1
366985280,CAROLINE,31,1
338056000,NRC LIBERTY,54,1
367008640,GULF HONOR,60,1
366961690,BETTY G,60,1
367194000,C FIGHTER,90,1
366602000,VIRGINIA RESPONDER,54,1
235072115,HOS IRON HORSE,90,1
258142000,SKANDI NEPTUNE,90,1
367621000,PAT TILLMAN,90,1
303198000,NRC ADMIRAL,54,1
338883000,HILTON JOSEPH,70,1
366829040,MS. CAROLINE,70,1
367150070,GULF PROTECTOR,60,1
366595000,TEXASRESPONDER,54,1
366947580,CROSBY CHAMPION,52,1
338953000,USCGC H CLAIBORNE,0,1
367356820,TUG VOLANS,31,1
368589000,OVERSEAS CASCADE,80,1
366601000,MISSISSIPPI RESPONDR,54,1
367108150,NOONIE G,90,1
366603000,FLORIDA*RESPONDER,54,1
367054880,AMPOL RECOVERY,90,1
366906460,NRC ENERGY,54,1
366843420,SEA HAWK,31,1
369225000,SEACOR QUEST,70,1
256426000,BOA SUB C,33,1
338460000,C-EXPRESS,70,1
367197840,INT L DIAMOND,11,1
366967770,ANGELICA E,31,1
367182150,JERRY BOLLINGER,31,1
367436410,TRINITY-III,90,1
311783000,MV RAMFORM VALIANT,32,1
367056872,BRAXTON PERRY,70,1
367303490,RESOLVE PIONEER,31,1
366593000,DELAWARE-RESPONDER,54,1
259873000,VIKING POSEIDON,90,1
366743830,C-COURAGEOUS,90,1
367071140,COASTAL MARINER,99,1
368440000,FORTE,90,1
303476000,WARRIOR,60,1
538002215,DISCOVERERENTERPRISE,33,1
367433790,INFANT JESUS PRAGUE,38,1
367106570,R.E.B. BORDELON,79,1
368124000,JOE GRIFFIN,70,1
366048000,SEACOR VANGUARD,31,1
366990770,SOUTHERN SEAHORSE,99,1
367158190,ODYSSEA QUEST,90,1
369903000,USCG CYPRESS,0,1
367119550,BRODY PAUL,0,1
366592000,LOUISIANA RESPONDER,70,1
367058070,SEABREAM,90,1
338016000,FREDA MCCALL,60,1
258473000,OCEAN INTERVENTION 3,90,1
367486000,C FREEDOM,70,1
367169160,SAILFISH,90,1
366792060,CROSBY LIGHT,31,1
366802880,CROSBY SUN,0,1
643781000,SUSAN MARIE,52,1
367094720,MR. ANDRE,20,1
366927010,MS ALISSA,90,1
368291000,JOHN COGHILL,52,1
367147950,PIKE,90,1
367039650,PAULINE T,70,1
367441380,KIMBERLY COLLE,90,1
367192310,ST IGNATIUS LOYOLA,90,1
367069330,INT`L TROOPER,90,1
367184080,TESLA1,99,1
367137210,LANA ROSE,52,1
366805390,EVEREADY,60,1
367136920,TRANSPORTER,99,1
366967740,HELENE.MARIA,31,1
367065080,AMPOL RESPONDER,70,1
367421610,CARISSA SHANE,60,1
366816920,WES BORDELON,70,1
366827390,CROSBY-CLIPPER,31,1

